"lundi00h" "lundi01h" "lundi02h" "lundi03h" "lundi04h" "lundi05h" "lundi06h" "lundi07h" "lundi08h" "lundi09h" "lundi10h" "lundi11h" "lundi12h" "lundi13h" "lundi14h" "lundi15h" "lundi16h" "lundi17h" "lundi18h" "lundi19h" "lundi20h" "lundi21h" "lundi22h" "lundi23h" "mardi00h" "mardi01h" "mardi02h" "mardi03h" "mardi04h" "mardi05h" "mardi06h" "mardi07h" "mardi08h" "mardi09h" "mardi10h" "mardi11h" "mardi12h" "mardi13h" "mardi14h" "mardi15h" "mardi16h" "mardi17h" "mardi18h" "mardi19h" "mardi20h" "mardi21h" "mardi22h" "mardi23h" "mercredi00h" "mercredi01h" "mercredi02h" "mercredi03h" "mercredi04h" "mercredi05h" "mercredi06h" "mercredi07h" "mercredi08h" "mercredi09h" "mercredi10h" "mercredi11h" "mercredi12h" "mercredi13h" "mercredi14h" "mercredi15h" "mercredi16h" "mercredi17h" "mercredi18h" "mercredi19h" "mercredi20h" "mercredi21h" "mercredi22h" "mercredi23h" "jeudi00h" "jeudi01h" "jeudi02h" "jeudi03h" "jeudi04h" "jeudi05h" "jeudi06h" "jeudi07h" "jeudi08h" "jeudi09h" "jeudi10h" "jeudi11h" "jeudi12h" "jeudi13h" "jeudi14h" "jeudi15h" "jeudi16h" "jeudi17h" "jeudi18h" "jeudi19h" "jeudi20h" "jeudi21h" "jeudi22h" "jeudi23h" "vendredi00h" "vendredi01h" "vendredi02h" "vendredi03h" "vendredi04h" "vendredi05h" "vendredi06h" "vendredi07h" "vendredi08h" "vendredi09h" "vendredi10h" "vendredi11h" "vendredi12h" "vendredi13h" "vendredi14h" "vendredi15h" "vendredi16h" "vendredi17h" "vendredi18h" "vendredi19h" "vendredi20h" "vendredi21h" "vendredi22h" "vendredi23h" "noms" "longitude" "latitude"
"13025" 23 24 26 29 28 28 29 26 24 16 9 9 9 10 9 7 10 9 6 16 27 21 29 32 32 32 32 28 29 30 28 27 22 18 8 8 7 7 7 12 13 12 8 16 22 33 33 33 33 32 31 33 33 33 32 33 27 24 12 7 5 6 5 7 5 11 14 22 33 32 33 33 15 20 22 22 24 24 23 16 13 7 3 3 4 3 8 8 6 7 7 15 26 27 26 27 11 15 18 15 16 16 14 13 11 3 6 3 6 1 1 2 9 10 10 20 26 29 33 33 " PLACE DE RUNGIS" 2.34738272948295 48.8224559476497
"10110" 1 3 3 4 4 3 3 1 0 3 1 0 1 0 0 1 0 1 0 0 4 4 6 6 6 7 9 10 10 10 11 10 9 7 0 1 0 3 1 2 0 0 0 0 2 1 1 1 2 1 1 4 4 5 5 4 0 3 6 4 0 0 1 0 0 1 1 6 3 5 4 0 0 4 4 5 5 6 5 2 2 5 3 1 0 3 2 3 0 4 0 0 6 8 7 11 7 3 1 4 4 5 4 3 2 4 4 0 2 0 1 1 0 1 3 4 0 1 2 3 " LOUIS BLANC" 2.36862871574876 48.879332174655
"20503" 4 5 5 4 5 5 5 7 8 12 6 3 0 1 0 6 1 1 5 0 10 7 11 8 7 9 6 5 7 7 8 8 14 13 7 11 11 7 8 14 13 8 2 8 16 20 19 15 18 17 17 18 19 20 21 21 21 19 11 21 16 5 5 2 8 4 3 12 21 16 21 21 18 19 20 21 21 21 20 21 21 20 17 17 14 16 11 5 2 2 2 7 5 5 6 4 1 4 5 5 8 9 10 11 20 20 11 5 0 3 5 4 7 5 0 4 11 10 8 4 " COURS DE VINCENNES PYRÉNÉES" 2.40590731701789 48.8477249689847
"13101" 32 31 31 32 32 33 32 33 32 26 30 30 33 34 32 30 29 26 30 32 16 17 18 19 19 21 22 22 23 23 23 25 27 24 25 27 29 33 30 31 31 31 32 29 21 17 18 21 23 22 22 25 25 27 27 28 22 18 23 24 21 14 10 18 19 17 19 26 34 33 33 34 34 34 34 34 34 34 34 34 33 25 22 20 21 24 23 23 22 19 21 19 24 28 28 31 31 31 32 32 26 27 27 27 29 26 20 19 15 20 18 21 20 18 19 19 26 33 29 26 " CROULEBARBE RECULETTES" 2.34810865477735 48.8311217750692
"8041" 1 1 0 0 0 0 1 1 0 7 17 24 23 20 20 24 22 25 26 14 1 1 1 1 0 1 1 1 1 1 1 1 1 10 20 24 28 28 31 33 34 31 32 23 12 1 2 1 1 1 1 1 3 3 3 3 3 5 18 25 31 23 23 23 25 24 34 27 7 2 1 2 2 3 2 1 1 1 1 1 2 8 15 20 23 21 23 16 19 26 19 8 1 1 1 1 0 0 0 0 0 0 0 0 1 11 21 20 21 18 18 22 19 16 11 5 1 0 1 0 " CHAMPS ELYSEES LINCOLN" 2.30322242397478 48.8706901579086
"5005" 3 1 1 1 1 1 1 0 1 3 15 17 16 16 16 20 23 20 9 17 1 2 0 2 0 2 2 2 0 0 0 0 0 2 2 7 5 0 5 2 1 1 0 0 0 2 0 1 3 3 4 1 1 1 1 0 3 4 12 16 24 24 17 11 11 1 1 0 0 0 2 1 1 1 2 2 2 2 2 1 2 9 9 10 10 11 11 6 2 1 1 2 0 3 2 0 1 1 1 0 0 0 0 0 6 7 13 22 22 17 11 9 8 1 0 0 0 2 0 2 " SAINT JACQUES GAY LUSSAC" 2.34192394486641 48.8447302561321
"18015" 7 7 3 3 3 3 3 3 1 1 0 0 0 2 0 0 0 1 0 9 6 3 4 6 4 6 8 8 7 8 8 7 4 0 1 0 0 1 3 0 0 0 0 4 6 5 1 3 9 6 7 8 9 12 12 12 4 0 0 0 1 1 0 0 0 6 3 4 14 10 15 18 13 14 15 22 23 23 21 21 8 0 0 0 1 2 0 0 4 4 7 15 8 11 14 13 14 13 14 33 34 34 33 33 22 1 0 0 2 0 1 2 2 3 5 6 5 9 3 1 " CUSTINE" 2.34701133583386 48.8886197164506
"22005" 10 10 11 10 10 9 9 8 8 14 21 21 21 22 21 20 20 19 11 2 2 1 3 1 1 1 1 1 1 1 1 3 3 8 19 16 14 16 13 15 14 15 12 2 2 0 0 1 0 0 0 0 2 2 2 3 6 20 22 22 21 21 22 22 21 15 12 2 0 0 1 4 0 0 1 0 0 0 0 1 2 18 22 21 21 20 19 22 21 17 11 1 0 0 0 2 0 1 2 0 0 1 1 2 7 22 22 21 20 22 20 18 16 11 7 1 4 3 3 5 " DE GAULLE 3 (NEUILLY)" 2.26099177209953 48.8842989293728
"13040" 6 10 10 10 30 30 27 28 21 19 13 10 4 4 1 1 0 1 1 4 2 4 9 11 10 9 11 10 10 30 30 32 32 28 22 21 15 16 13 12 3 1 1 1 6 2 0 0 4 1 3 3 4 4 4 4 0 1 0 2 1 1 3 0 1 0 1 1 3 3 0 8 8 5 3 3 8 8 9 8 5 0 2 11 8 3 1 1 5 9 8 2 1 0 4 3 21 16 12 11 12 12 11 11 2 0 1 9 7 8 5 7 5 0 1 0 0 1 0 1 " PORTE DE CHOISY" 2.36507858638901 48.8199419656772
"21011" 9 9 9 9 9 9 9 9 8 8 10 10 5 7 8 10 11 10 13 9 2 2 5 6 6 6 6 6 6 6 6 6 4 4 11 8 10 12 14 15 12 10 10 9 7 8 9 9 9 9 10 10 9 10 10 9 8 5 9 12 9 8 7 6 4 7 7 4 4 2 3 4 4 5 5 6 6 6 6 4 3 3 4 5 4 4 1 1 3 4 5 9 12 17 14 16 20 20 21 22 22 22 22 21 16 16 20 18 12 14 17 15 19 19 17 20 18 22 20 19 " SILLY (BOULOGNE BILLANCOURT)" 2.2340164013498 48.832274660165
"9005" 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 2 2 2 9 7 4 1 2 4 5 11 11 11 14 13 12 7 1 0 0 0 1 0 1 0 4 0 2 7 13 1 2 1 3 0 0 0 0 1 0 0 0 0 0 0 1 0 4 3 0 1 4 5 2 0 0 2 1 1 0 1 1 1 1 2 0 0 2 0 2 0 2 0 1 3 0 2 7 6 6 5 1 0 0 2 1 1 1 0 0 1 1 0 1 1 0 0 0 1 2 1 1 0 0 " SQUARE D'ANVERS" 2.34488440621221 48.8826334843108
"12015" 14 11 11 13 12 12 12 13 13 12 5 5 7 7 4 5 3 3 3 10 4 4 6 9 9 12 11 11 11 11 11 9 9 8 4 2 2 6 7 4 2 6 5 8 7 4 4 7 7 7 7 9 11 11 12 10 10 3 4 6 7 7 2 2 1 1 2 4 7 9 7 2 3 5 5 10 11 12 12 12 13 8 11 12 16 12 11 12 9 9 3 7 6 1 1 5 4 1 3 3 6 8 8 6 6 0 0 1 4 2 0 1 5 6 5 6 1 7 8 6 " NATION PICPUS" 2.39986827742879 48.8469643595031
"15040" 30 30 35 35 35 35 34 32 26 2 1 0 0 0 0 0 2 0 4 0 29 35 34 36 36 36 36 36 36 36 35 35 31 8 0 1 1 0 0 3 3 0 1 5 12 19 19 28 34 36 36 36 36 36 35 34 29 4 0 0 2 3 2 1 2 3 2 2 15 23 20 29 34 34 36 36 36 36 35 33 28 1 1 1 3 3 3 1 4 2 6 18 8 16 21 28 28 35 35 31 32 34 33 31 19 2 1 2 2 0 7 2 2 1 12 11 14 5 1 5 " MONCLAR" 2.30885001546654 48.8341171478377
"6017" 25 26 26 27 27 28 28 27 26 26 30 27 22 30 25 30 28 29 21 16 19 16 12 10 8 3 0 0 0 0 0 0 1 1 16 21 19 23 30 30 28 27 14 4 0 4 2 0 3 2 1 0 0 0 1 0 0 2 7 17 23 23 21 29 34 32 18 6 4 13 13 5 6 1 1 1 1 1 1 1 2 4 18 24 22 26 22 20 23 23 16 2 6 4 5 3 0 0 2 0 0 0 1 1 3 0 17 21 17 25 33 30 28 27 9 0 2 4 5 9 " SENAT CONDE" 2.33784843717954 48.8495800021863
"17008" 20 19 18 16 16 17 17 16 11 14 5 3 4 3 4 3 2 2 2 2 2 3 0 2 3 4 4 4 4 5 5 5 1 3 1 0 0 1 1 11 8 7 4 2 1 1 0 0 2 2 2 2 2 3 4 3 5 4 1 1 2 1 1 3 2 2 1 1 0 1 1 1 1 1 2 2 2 2 2 1 1 4 2 2 0 0 12 13 11 11 10 7 11 5 5 5 6 7 8 8 8 8 8 8 9 8 26 31 30 30 31 32 32 31 30 28 18 16 15 13 " PORCHE POUCHET" 2.32247847786469 48.8987737928043
"12031" 23 25 28 29 27 26 27 25 23 18 28 34 34 32 34 34 34 34 34 34 34 21 19 19 20 20 19 17 19 19 19 19 18 11 24 29 32 32 14 17 16 26 25 30 31 32 23 25 27 27 28 28 27 27 27 27 3 8 15 15 21 11 10 13 21 30 23 28 32 30 32 34 33 28 29 28 28 28 28 26 5 3 17 17 19 15 10 10 16 22 31 34 36 33 35 36 36 27 31 33 33 34 34 21 8 11 18 18 18 28 26 33 36 36 35 32 36 35 36 35 " LAME" 2.38547848656484 48.8351380506895
"2005" 1 2 2 0 3 3 4 6 4 0 12 15 14 15 14 14 14 12 15 13 14 15 12 1 1 0 2 0 0 0 2 2 0 2 15 12 13 7 4 11 15 15 10 9 14 6 3 1 3 3 0 0 1 0 0 1 1 2 14 15 10 15 13 15 15 13 14 14 13 15 14 9 2 3 2 3 1 1 1 4 1 1 15 13 15 15 13 15 15 15 15 15 12 15 11 1 1 1 0 0 0 0 0 3 1 3 3 10 15 15 6 10 13 14 13 8 10 5 2 7 " MONTORGUEIL RUE MONTMARTRE VERSION 2" 2.34506844014476 48.8650219458101
"14122" 1 1 10 10 11 11 11 10 9 2 3 2 5 5 1 1 0 0 0 2 1 1 0 1 3 6 12 12 13 14 14 14 14 11 8 8 7 6 4 3 1 0 0 3 1 2 1 0 0 0 12 12 12 11 11 10 11 2 0 0 1 0 1 1 0 1 0 0 2 2 2 2 4 4 12 13 14 13 14 14 12 18 17 15 15 12 13 9 5 0 0 2 2 1 2 2 0 0 12 12 13 12 13 12 12 16 18 15 15 13 14 12 5 8 2 1 1 1 2 2 " BRUNE" 2.30927479982717 48.8265029331101
"11113" 20 21 22 21 21 22 22 20 22 14 7 2 1 2 1 0 0 0 2 3 5 5 7 11 10 8 7 6 4 3 3 1 0 0 0 0 0 0 0 1 2 0 1 4 7 23 39 46 52 40 40 37 37 36 36 34 34 17 1 0 0 2 0 0 5 4 4 3 12 17 24 50 56 56 55 55 41 42 39 36 22 18 10 12 10 1 3 3 7 16 20 21 22 30 44 56 55 53 37 38 36 37 34 34 21 11 0 1 0 3 3 1 0 0 15 11 39 56 55 54 " REPUBLIQUE FERRY" 2.36932253040752 48.8665160798211
"14127" 1 0 0 0 0 10 9 9 6 2 0 1 1 4 2 0 4 2 3 3 3 2 1 2 1 0 0 0 10 11 11 13 18 13 13 13 22 18 16 6 5 7 7 6 4 1 2 2 0 1 1 22 22 22 23 25 26 24 28 26 23 22 25 20 13 6 7 5 15 14 14 4 0 0 1 19 18 18 18 18 22 28 27 22 26 30 25 18 17 18 13 13 2 4 4 0 0 0 0 0 20 20 20 21 28 25 22 18 22 23 12 8 9 3 0 5 6 14 11 2 " ODESSA" 2.32444156513947 48.8428422780744
"42015" 12 16 17 18 18 18 17 15 11 1 2 0 1 1 0 3 2 2 2 3 1 6 10 13 16 18 18 18 18 18 17 16 17 9 4 0 1 1 2 0 2 2 6 0 2 5 9 9 10 9 9 9 8 8 6 6 6 0 0 0 0 1 1 0 1 1 6 6 6 9 8 8 8 8 8 9 11 11 10 9 7 2 0 0 0 4 2 1 4 3 1 3 2 5 7 9 10 13 15 15 15 15 14 14 13 5 3 3 0 2 1 0 0 0 0 3 0 5 4 6 " PAUL BERT (IVRY)" 2.37243237603422 48.8180022698238
"19119" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 1 2 3 5 0 1 1 1 18 18 18 18 18 18 18 17 13 4 0 0 1 1 0 0 0 1 0 4 2 0 1 21 24 24 24 24 24 24 24 26 20 14 14 2 3 2 0 2 0 0 1 3 0 1 2 22 23 24 24 24 24 24 24 24 18 5 3 3 1 1 2 2 2 3 3 3 4 3 3 20 21 21 23 23 23 23 23 21 13 5 1 1 2 2 2 0 1 0 3 3 1 0 0 " BOURET PAILLERON" 2.37685300056202 48.8805744614225
"5024" 17 17 20 20 21 21 21 20 14 7 2 13 20 21 20 21 12 19 21 21 19 19 21 19 15 15 14 13 11 11 12 11 4 2 1 3 5 5 8 7 13 11 16 18 17 20 19 18 11 17 17 17 17 19 19 18 16 2 1 6 8 5 9 10 1 1 1 12 10 4 9 12 10 14 14 14 15 15 16 14 9 2 1 3 5 5 6 8 7 6 4 4 7 14 21 20 18 12 10 9 10 14 16 13 4 2 4 6 13 21 16 8 1 1 2 8 11 3 8 6 " PLACE MONGE" 2.35247243722336 48.8427350429896
"12019" 25 26 28 28 28 27 26 26 20 23 23 26 21 15 14 11 4 3 5 9 14 13 21 25 27 28 26 26 26 25 26 25 24 3 1 3 6 5 4 10 2 1 7 6 18 19 15 17 19 25 26 28 28 27 27 26 27 25 23 23 17 5 3 6 3 4 7 10 6 8 15 17 22 24 28 28 28 27 26 26 21 21 18 13 13 8 9 14 12 8 2 2 8 2 3 6 17 19 21 26 26 26 25 25 27 22 22 16 12 2 2 4 5 2 5 1 4 2 6 9 " GARE DE REUILLY" 2.39724999059738 48.8425771005154
"17009" 1 2 1 1 1 1 1 1 2 0 0 1 4 4 1 3 5 2 3 10 12 14 14 17 21 24 27 32 32 31 31 31 29 19 9 2 2 1 3 2 3 3 1 12 16 19 18 22 25 28 28 29 31 30 30 30 25 1 2 1 1 5 4 1 4 6 3 6 6 9 14 14 16 22 24 24 24 24 25 25 22 2 2 3 2 3 1 3 7 3 3 7 14 21 26 28 30 31 32 32 32 32 32 32 31 7 0 2 4 1 3 3 3 3 13 17 20 26 32 33 " BODIN AVENUE DE CLICHY" 2.31731325811074 48.8926339214324
"9015" 21 25 26 29 29 29 29 29 27 10 3 4 1 1 4 2 1 7 15 28 21 22 30 30 28 27 24 26 27 22 22 23 22 0 16 26 30 30 30 30 30 30 30 30 30 30 29 30 31 30 29 31 31 31 31 30 30 3 15 22 29 31 30 31 26 30 31 30 31 27 31 31 31 31 29 31 30 30 30 30 24 5 15 30 28 28 24 28 31 29 31 31 29 30 29 30 28 26 27 28 27 27 27 27 16 8 14 21 28 30 30 31 31 29 31 30 30 16 21 25 " LAMARTINE" 2.33979989931612 48.8766221203731
"5033" 20 18 18 20 19 19 19 18 19 23 27 29 30 30 29 29 29 20 26 25 15 11 15 9 6 6 4 1 2 1 2 1 0 4 5 2 6 6 15 23 25 20 24 12 13 22 29 16 9 5 4 2 2 3 5 6 6 12 24 22 18 23 30 29 27 28 30 26 27 27 29 17 6 0 2 2 2 2 2 0 3 2 4 2 5 6 12 10 14 15 14 10 8 16 17 19 10 1 1 1 0 0 0 0 1 13 12 13 14 18 19 24 15 7 2 2 14 25 30 26 " SAINT SEVERIN" 2.34413776324567 48.8527056477051
"8025" 9 10 11 11 11 10 9 13 19 32 31 29 29 25 23 26 31 28 26 11 4 3 6 5 4 5 4 4 4 3 4 7 13 33 33 33 21 24 31 33 30 31 18 3 3 5 2 4 5 6 5 5 2 2 2 6 13 25 32 32 31 23 26 25 25 30 21 6 3 5 3 2 3 3 3 3 3 3 4 5 15 33 32 31 29 31 33 32 27 26 19 9 2 1 1 4 2 3 1 1 1 1 1 1 9 27 33 32 21 21 20 25 24 21 11 2 4 1 2 4 " MIROMESNIL" 2.31587630834637 48.8737604721401
"16018" 4 2 2 2 3 3 3 3 2 2 0 1 0 0 1 0 1 1 1 0 0 0 0 3 1 1 1 1 2 2 1 1 0 0 2 2 1 1 4 3 3 2 1 0 0 1 2 2 5 4 3 4 3 3 3 1 0 0 0 6 6 4 4 2 4 0 3 3 0 0 1 0 0 0 1 1 2 3 2 2 3 1 4 3 6 3 0 1 1 1 1 2 3 1 0 0 1 1 3 2 2 2 0 0 0 0 1 9 8 7 5 6 1 0 1 2 0 1 0 0 " FLANDRIN" 2.27244864764647 48.864411409459
"18004" 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 2 0 3 0 0 1 5 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 2 2 0 1 3 1 0 1 1 3 2 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 5 4 0 1 1 1 3 2 2 2 2 0 0 0 4 0 2 0 0 1 0 0 2 2 2 7 3 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 2 0 2 3 5 6 " ABBESSES" 2.33881229702936 48.8844823927275
"20038" 0 0 0 0 0 9 9 9 7 3 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 7 7 7 7 5 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 8 9 9 6 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 4 13 12 12 6 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 6 6 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 " LEON FRAPIE" 2.41100303588006 48.87354903514
"14033" 4 4 3 3 3 3 3 3 6 4 3 3 1 2 1 0 2 0 2 4 11 18 12 8 13 11 10 10 30 30 29 29 30 15 2 2 2 4 3 4 5 3 4 6 8 9 6 8 6 6 6 4 24 23 22 22 20 7 3 5 0 0 0 0 2 1 8 5 9 14 13 7 10 5 5 6 21 21 19 19 17 8 0 1 3 3 1 2 1 1 6 12 5 5 1 2 0 3 6 7 27 27 26 26 26 9 0 3 0 4 0 1 1 0 1 6 7 9 14 14 " DAGUERRE GASSENDI" 2.3282908220517 48.8356804441726
"13010" 9 3 20 18 19 34 37 33 29 26 20 5 7 2 4 0 3 0 0 2 3 20 15 8 2 0 20 17 18 18 17 13 8 9 7 35 34 34 25 31 30 19 3 0 1 0 12 3 1 4 20 13 31 30 31 30 33 27 15 6 22 11 13 3 4 9 3 2 1 30 26 17 14 5 17 33 32 31 34 36 36 24 30 23 14 33 20 17 9 5 8 8 7 3 1 2 0 1 0 19 20 19 37 36 31 24 10 10 22 34 36 36 23 10 2 0 6 0 0 0 " PLACE D ITALIE AURIOL" 2.35670842076066 48.8315826437749
"14021" 2 3 2 19 24 25 24 27 26 15 2 1 3 2 1 1 1 3 3 0 2 3 2 3 1 2 3 4 25 27 26 30 28 18 12 9 11 12 10 4 4 11 6 3 3 6 3 4 5 10 10 21 21 23 22 23 20 3 3 5 2 2 3 3 1 1 2 4 2 3 2 1 3 7 6 12 25 26 25 27 25 6 5 4 4 6 3 1 2 1 1 1 2 0 2 5 9 11 11 20 21 22 22 22 23 3 0 0 1 2 4 2 3 0 0 2 2 1 1 6 " PLACE DE LA PORTE DE CHATILLON" 2.31844743104898 48.8244897024567
"10019" 10 12 13 14 16 16 16 15 16 15 6 4 1 1 3 7 7 3 0 0 6 15 12 16 19 20 20 20 21 22 22 19 26 29 26 25 25 16 5 3 4 1 1 0 0 4 1 1 5 4 9 11 11 11 11 11 16 15 28 29 25 26 22 24 15 14 1 0 1 2 9 11 20 18 19 19 20 20 20 19 23 29 29 30 27 31 30 29 28 23 5 3 2 3 7 3 3 10 12 12 15 14 14 12 13 19 28 25 27 19 18 21 16 3 10 0 10 26 26 21 " PARADIS" 2.35218489482655 48.8750340562449
"9002" 7 6 4 5 4 5 5 5 3 1 0 0 1 1 0 2 0 0 1 1 7 15 13 13 15 15 13 15 15 15 15 12 7 3 2 2 1 0 1 0 0 0 5 3 3 7 5 7 8 11 13 12 12 10 9 11 1 1 2 1 0 0 1 2 0 0 2 4 5 4 4 0 2 6 7 4 4 4 2 1 1 0 13 7 1 0 4 2 0 3 1 0 6 14 11 15 15 14 14 14 15 15 15 13 12 0 1 0 2 3 5 3 1 2 0 8 3 0 1 3 " MAUBEUGE CONDORCET" 2.34914749353609 48.8792233706285
"16110" 8 9 9 9 9 9 9 9 8 7 14 14 15 19 14 10 7 3 3 3 2 4 3 2 3 2 2 4 4 4 4 4 3 9 18 16 13 12 8 7 8 5 2 1 1 1 1 2 1 1 16 16 16 16 16 16 15 17 21 21 21 15 14 16 14 14 11 2 3 2 2 2 2 2 2 2 2 2 3 2 3 10 20 20 18 15 11 11 12 13 1 1 1 1 3 3 4 5 5 4 19 16 16 17 16 21 21 21 21 19 21 20 20 19 5 1 0 0 1 2 " OCTAVE FEUILLET" 2.27312852713658 48.8609983661382
"17014" 33 32 31 32 32 33 33 33 33 31 27 24 24 25 24 24 24 24 21 21 19 20 18 19 20 20 19 19 19 20 20 20 20 17 13 14 11 12 12 11 12 12 9 8 4 4 5 6 8 9 9 12 13 14 14 14 15 11 10 9 9 11 8 9 13 15 13 8 4 8 8 7 11 11 12 12 12 13 13 13 13 14 7 4 4 5 3 2 7 8 6 8 9 8 13 17 17 18 18 21 21 23 23 24 24 26 22 22 20 20 17 20 22 21 18 14 16 19 21 21 " PORTE DE CLICHY - AVENUE DE CLICHY" 2.31071441900949 48.8967873958996
"19012" 2 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 2 0 5 18 21 25 30 27 27 26 26 26 26 26 27 26 18 3 0 0 1 1 1 0 2 2 2 11 23 22 23 24 25 28 28 28 28 28 27 27 11 4 2 0 0 0 1 1 2 3 3 18 29 36 40 46 50 50 50 52 52 50 48 47 30 21 11 5 0 3 0 4 2 1 3 11 11 15 14 17 19 16 15 15 14 15 14 9 2 0 5 0 0 1 0 0 2 2 3 14 17 18 21 " LALLY TOLLENDAL" 2.37469338894231 48.882700644222
"6020" 26 23 23 21 22 21 22 21 21 24 25 33 35 32 33 33 19 29 32 33 23 34 30 34 34 26 18 17 16 1 1 1 2 7 18 32 34 34 34 26 31 34 32 32 29 30 33 34 33 20 20 0 0 3 0 0 1 10 17 33 32 32 32 33 32 32 31 26 34 34 24 15 0 0 2 0 0 0 0 0 0 10 18 21 22 23 28 33 33 30 26 34 29 35 35 21 3 0 2 1 1 2 1 1 4 11 12 19 23 33 29 34 34 27 22 32 32 30 30 28 " SAINT MICHEL DANTON" 2.34265739289121 48.8529304105913
"34002" 12 12 12 12 12 9 8 8 7 3 2 1 1 1 2 1 2 1 2 2 9 9 10 13 12 12 12 11 11 11 11 11 6 2 2 2 2 1 1 1 5 3 2 3 8 14 15 15 17 17 17 16 16 15 15 14 5 4 2 0 0 0 0 0 3 2 0 3 5 7 11 12 17 17 20 19 19 19 19 19 15 4 6 3 4 2 0 1 0 3 0 0 4 3 7 6 9 10 11 11 11 11 11 10 7 3 9 9 9 11 11 8 10 10 11 5 7 9 12 15 " PERI (SAINT OUEN)" 2.33051356484027 48.9025922416309
"14111" 1 2 1 3 3 2 2 3 4 2 0 1 1 3 1 2 1 20 21 12 9 4 3 0 0 21 21 21 21 21 21 21 22 17 19 19 16 12 7 3 1 1 1 0 0 0 0 1 0 1 1 22 22 19 19 21 23 23 19 18 11 12 10 9 5 3 0 2 0 1 0 1 2 1 1 20 20 20 20 21 22 21 14 13 15 12 9 6 3 2 1 1 1 2 0 0 2 1 1 2 2 2 2 2 4 3 1 2 0 1 1 0 4 2 0 0 0 3 1 1 " DENFERT-ROCHEREAU CASSINI" 2.33598303046652 48.8375492921975
"42201" 18 18 18 18 18 18 18 18 17 17 22 24 24 24 23 22 22 23 24 22 22 19 23 23 24 24 24 24 24 24 24 25 25 23 23 22 22 23 24 24 24 24 22 18 19 16 16 16 16 17 17 17 17 17 18 18 19 20 24 24 23 23 24 25 25 25 24 18 17 18 19 18 20 20 20 20 20 20 20 21 23 24 25 25 22 20 22 22 24 24 24 23 21 19 19 20 20 20 21 21 21 21 21 22 22 22 24 25 23 21 23 23 24 24 26 25 25 25 22 22 " NECKER (CHARENTON)" 2.39999842013299 48.8239632522869
"21113" 7 7 7 7 8 8 8 8 8 15 17 16 15 16 15 15 15 15 14 5 0 1 1 1 1 3 3 3 3 3 3 2 1 5 7 7 8 7 7 7 6 3 1 0 1 0 1 1 2 2 2 3 3 3 3 4 4 5 10 9 8 7 9 9 9 10 3 2 0 0 3 3 2 2 2 2 2 2 2 2 5 6 6 8 8 7 8 8 7 8 10 11 7 7 5 5 4 7 7 8 7 7 8 8 10 11 11 11 11 11 11 8 7 8 3 4 3 5 6 5 " PETIT (CLICHY)" 2.29662648341284 48.8993483537726
"11044" 23 23 10 13 13 13 13 14 14 6 3 4 3 3 5 3 2 3 3 6 16 21 20 21 23 23 22 23 22 22 22 23 22 15 15 6 2 2 4 0 2 2 6 8 16 23 23 22 23 23 23 22 23 23 23 22 23 23 3 4 2 3 3 5 3 3 4 11 11 23 23 23 22 23 21 22 23 23 23 23 23 9 6 10 11 10 9 9 5 2 10 10 17 17 17 17 17 18 18 17 18 14 14 17 17 8 4 9 2 2 2 4 1 5 13 11 13 19 23 23 " RICHARD LENOIR VOLTAIRE NORD" 2.37120861796012 48.8634319896359
"17110" 4 8 7 4 4 4 3 2 1 0 0 1 1 2 1 0 0 1 0 1 16 24 24 24 25 27 23 25 25 25 23 23 12 1 0 0 0 0 1 0 5 2 5 7 18 27 28 28 28 27 27 28 28 28 27 24 11 0 0 0 1 3 3 1 1 1 4 19 16 22 22 21 28 26 27 26 29 29 27 26 10 0 1 0 1 1 2 2 2 7 9 5 14 19 27 28 29 28 27 26 27 29 27 25 12 0 0 0 0 1 0 0 0 1 1 9 5 3 2 1 " LEGENDRE" 2.32036786584418 48.8877723254283
"13047" 17 16 17 17 17 17 17 17 18 49 48 47 49 49 49 49 49 49 48 48 49 49 49 49 49 49 49 29 29 29 29 29 30 30 26 24 22 21 23 23 24 23 21 23 24 25 32 34 39 42 46 46 46 47 38 39 41 45 45 45 47 48 48 44 44 46 38 41 24 28 33 37 42 43 45 44 44 44 44 45 47 30 30 30 31 34 33 32 32 35 31 36 42 49 49 49 49 49 48 47 47 46 46 47 27 28 25 26 26 26 30 29 32 38 40 48 49 48 47 49 " BOUTROUX VITRY" 2.37773843365762 48.8226328422322
